"id","id_kabkota","nama"
"1101010","1101"," Teupah Selatan"
"1101020","1101"," Simeulue Timur"
"1101021","1101"," Teupah Barat"
"1101022","1101"," Teupah Tengah"
"1101030","1101"," Simeulue Tengah"
"1101031","1101"," Teluk Dalam"
"1101032","1101"," Simeulue Cut"
"1101040","1101"," Salang"
"1101050","1101"," Simeulue Barat"
"1101051","1101"," Alafan"
"1102010","1102"," Pulau Banyak"
"1102011","1102"," Pulau Banyak Barat"
"1102020","1102"," Singkil"
"1102021","1102"," Singkil Utara"
"1102022","1102"," Kuala Baru"
"1102030","1102"," Simpang Kanan"
"1102031","1102"," Gunung Meriah"
"1102032","1102"," Danau Paris"
"1102033","1102"," Suro"
"1102042","1102"," Singkohor"
"1102043","1102"," Kota Baharu"
"1103010","1103"," Trumon"
"1103011","1103"," Trumon Timur"
"1103012","1103"," Trumon Tengah"
"1103020","1103"," Bakongan"
"1103021","1103"," Bakongan Timur"
"1103022","1103"," Kota Bahagia"
"1103030","1103"," Kluet Selatan"
"1103031","1103"," Kluet Timur"
"1103040","1103"," Kluet Utara"
"1103041","1103"," Pasie Raja"
"1103042","1103"," Kluet Tengah"
"1103050","1103"," Tapak Tuan"
"1103060","1103"," Sama Dua"
"1103070","1103"," Sawang"
"1103080","1103"," Meukek"
"1103090","1103"," Labuhan Haji"
"1103091","1103"," Labuhan Haji Timur"
"1103092","1103"," Labuhan Haji Barat"
"1104010","1104"," Lawe Alas"
"1104011","1104"," Babul Rahmad"
"1104012","1104"," Tanoh Alas"
"1104020","1104"," Lawe Sigala-gala"
"1104021","1104"," Babul Makmur"
